Accession	Title	Links	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN29453300	301_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.070Z	2022-10-25T09:19:16.096Z	SUB11601558	AGL1498	Severe acute respiratory syndrome coronavirus 2
SAMN29453298	300_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.050Z	2022-10-25T09:19:16.080Z	SUB11601558	AGL1920	Severe acute respiratory syndrome coronavirus 2
SAMN29453293	298_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.006Z	2022-10-25T09:19:16.063Z	SUB11601558	AGL1948	Severe acute respiratory syndrome coronavirus 2
SAMN29453286	296_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.943Z	2022-10-25T09:19:16.046Z	SUB11601558	AGL1744	Severe acute respiratory syndrome coronavirus 2
SAMN29453285	296_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.933Z	2022-10-25T09:19:16.030Z	SUB11601558	AGL1734	Severe acute respiratory syndrome coronavirus 2
SAMN29453283	295_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.916Z	2022-10-25T09:19:16.013Z	SUB11601558	AGL1537	Severe acute respiratory syndrome coronavirus 2
SAMN29453281	294_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.896Z	2022-10-25T09:19:16Z	SUB11601558	AGL1698	Severe acute respiratory syndrome coronavirus 2
SAMN29453278	293_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.870Z	2022-10-25T09:19:15.983Z	SUB11601558	AGL1634	Severe acute respiratory syndrome coronavirus 2
SAMN29453276	293_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.850Z	2022-10-25T09:19:15.966Z	SUB11601558	AGL1736	Severe acute respiratory syndrome coronavirus 2
SAMN29453271	291_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.796Z	2022-10-25T09:19:15.950Z	SUB11601558	AGL1722	Severe acute respiratory syndrome coronavirus 2
